2
	900.000000 0.000000 150.000000 1000.000000
	0.000000 700.000000 50.000000 1000.000000
1
	100.000000 0.000000 0.500000 1 2 2 11
		1 0.000000 900.000000 0.000000 100.000000 0.000000 0 0 0 0.000000 0.000000 0.000000 0.000000
		2 0.000000 120.000000 0.000000 760.000000 0.000000 1
		3 0.000000 130.000000 0.000000 760.000000 0.000000 0 0
		4 0.000000 140.000000 0.000000 100.000000 0.000000 1
		5 0.000000 150.000000 0.000000 350.000000 0.000000 1
		6 0.000000 100.000000 250.000000 100.000000 250.000000 1
		7 0.000000 -150.000000 0.000000 -150.000000 0.000000 1
		8 0.000000 100.000000 0.000000 100.000000 -250.000000 1
		9 0.000000 550.000000 -200.000000 550.000000 -200.000000 1
		10 0.000000 550.000000 200.000000 550.000000 200.000000 1
		11 0.000000 300.000000 450.000000 300.000000 450.000000 1
		12 0.000000 -100.000000 450.000000 -100.000000 450.000000 1
		13 0.000000 -350.000000 200.000000 -350.000000 200.000000 1
		14 0.000000 -350.000000 -200.000000 -350.000000 -200.000000 1
		15 0.000000 -100.000000 -450.000000 -100.000000 -450.000000 1
		16 0.000000 300.000000 -450.000000 300.000000 -450.000000 1

